table_catalog,table_schema,table_name,column_name,field_path,data_type,description,collation_name,rounding_mode
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_daily,sales_transaction,sales_transaction.gross_sales_amount_local_before_cancellations,NUMERIC,Total value of gross sales in local currency that are not cancelled transactions.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,sales_transaction,sales_transaction.gross_sales_amount_local_before_cancellations,NUMERIC,Total value of gross sales in local currency that are not cancelled transactions.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.rco_pages_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with RCO Pages events (i.e. post-purchase pages).,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,session_conversions,session_conversions.rco_pages_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with RCO Pages events (i.e. post-purchase pages).,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.plp_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Product Landing Page Seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,session_conversions,session_conversions.plp_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Product Landing Page Seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.pdp_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Product Display Page seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,session_conversions,session_conversions.pdp_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Product Display Page seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.checkout_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Checkout Seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,session_conversions,session_conversions.checkout_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Checkout Seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.checkout_complete_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Checkout Complete events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,session_conversions,session_conversions.checkout_complete_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Checkout Complete events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.bag_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Bag Seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sales_with_sessions_and_business_goals_daily,session_conversions,session_conversions.bag_seen_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Bag Seen events.,NULL,
atz-data-hub-qa,output_ecommerce,digital_sessions_daily,session_conversions,session_conversions.add_to_mylist_session_sales_amount_local,FLOAT64,Total product revenue (local) for sessions with Add to My List events.,NULL,
